,Year,Month,CAWn,Effort,Effort_SD,Index,Index_SD
1,2017,Jan,0,NA,0.2,NA,NA
2,2017,Feb,0,NA,0.2,NA,NA
3,2017,Mar,776,1.45,0.2,0.74,0.16
4,2017,Apr,217,0.47,0.2,0.75,0.16
5,2017,May,19,0.07,0.2,0.53,0.28
6,2017,Jun,0,NA,0.2,NA,NA
7,2017,Jul,211,0.26,0.2,1.55,0.18
8,2017,Aug,263,0.54,0.2,1.19,0.17
9,2017,Sep,490,1.11,0.2,0.9,0.17
10,2017,Oct,289,0.69,0.2,0.79,0.15
11,2017,Nov,215,0.56,0.2,0.59,0.17
12,2017,Dec,438,0.72,0.2,0.9,0.17
13,2018,Jan,935,1.69,0.2,0.73,0.19
14,2018,Feb,1615,2.85,0.2,0.77,0.19
15,2018,Mar,1252,2.48,0.2,0.73,0.17
16,2018,Apr,380,0.76,0.2,0.83,0.19
17,2018,May,82,0.18,0.2,0.9,0.22
18,2018,Jun,0,NA,0.2,NA,NA
19,2018,Jul,78,0.17,0.2,1.53,0.18
20,2018,Aug,101,0.34,0.2,0.75,0.18
21,2018,Sep,478,0.99,0.2,0.88,0.15
22,2018,Oct,442,0.79,0.2,0.92,0.16
23,2018,Nov,512,0.77,0.2,0.83,0.16
24,2018,Dec,1007,1.45,0.2,0.9,0.15
25,2019,Jan,905,1.29,0.2,1.04,0.15
26,2019,Feb,786,1.27,0.2,0.9,0.18
27,2019,Mar,553,0.81,0.2,0.96,0.16
28,2019,Apr,180,0.21,0.2,1.37,0.17
29,2019,May,112,0.17,0.2,0.89,0.19
30,2019,Jun,88,0.1,0.2,1.45,0.17
31,2019,Jul,222,0.38,0.2,1.2,0.16
32,2019,Aug,437,0.68,0.2,1.35,0.16
33,2019,Sep,369,0.59,0.2,1.39,0.18
34,2019,Oct,86,0.14,0.2,1.34,0.22
35,2019,Nov,0,NA,0.2,NA,NA
36,2019,Dec,0,NA,0.2,NA,NA
37,2020,Jan,0,NA,0.2,NA,NA
38,2020,Feb,0,NA,0.2,NA,NA
39,2020,Mar,0,NA,0.2,NA,NA
40,2020,Apr,0,NA,0.2,NA,NA
41,2020,May,0,NA,0.2,NA,NA
42,2020,Jun,0,NA,0.2,NA,NA
43,2020,Jul,0,NA,0.2,NA,NA
44,2020,Aug,0,NA,0.2,NA,NA
45,2020,Sep,0,NA,0.2,NA,NA
46,2020,Oct,0,NA,0.2,NA,NA
47,2020,Nov,253,0.26,0.2,1.29,0.22
48,2020,Dec,1171,1.67,0.2,0.81,0.2
49,2021,Jan,1062,1.65,0.2,1.21,0.21
50,2021,Feb,1277,2.04,0.2,1.41,0.19
51,2021,Mar,2675,2.93,0.2,1.35,0.18
52,2021,Apr,550,0.34,0.2,1.83,0.18
53,2021,May,260,0.21,0.2,1.8,0.19
54,2021,Jun,580,0.93,0.2,1.06,0.17
55,2021,Jul,441,0.72,0.2,0.94,0.19
56,2021,Aug,454,0.63,0.2,1.22,0.16
57,2021,Sep,491,1.28,0.2,0.67,0.21
58,2021,Oct,805,1.71,0.2,0.6,0.22
59,2021,Nov,884,1.6,0.2,0.62,0.18
60,2021,Dec,1138,2.07,0.2,0.61,0.23
61,2022,Jan,1113,2.55,0.2,0.45,0.23
62,2022,Feb,717,1.41,0.2,0.54,0.22
63,2022,Mar,NA,NA,0.2,NA,NA
64,2022,Apr,NA,NA,0.2,NA,NA
65,2022,May,NA,NA,0.2,NA,NA
66,2022,Jun,NA,NA,0.2,NA,NA
67,2022,Jul,NA,NA,0.2,NA,NA
68,2022,Aug,NA,NA,0.2,NA,NA
69,2022,Sep,NA,NA,0.2,NA,NA
70,2022,Oct,NA,NA,0.2,NA,NA
71,2022,Nov,NA,NA,0.2,NA,NA
72,2022,Dec,NA,NA,0.2,NA,NA
