Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxage,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,
Weight_Age_Mean,0,0.01,0.05,0.12,0.23,0.4,0.6,0.86,1.17,1.54,1.96,2.44,2.99,3.6,4.27,,,,,,,,,,,,,,,
Weight_Age_SD,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,,,,,,,,,,,,,,,
M_at_Age,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,,
Maturity_at_Age,0,0,0,0,0,0,0,0,0,0,0,0.05,0.95,1,1,,,,,,,,,,,,,,,
Post_Spawning_Mortality,0,0,0,0,0,0,0,0,0,0,0,0.05,0.95,1,1,,,,,,,,,,,,,,,
R0_bar,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_m,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,,,,,,,,,,,,,,,,,,
sigmaR,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steepness,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyears,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Effort_Annual_Mean,0,10,10,30,30,40,60,80,100,150,150,150,120,120,110,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Effort_Annual_SD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Effort_Month_Mean,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,,,,,,,,,,,,,,,,,,
Effort_Month_SD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,
q,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_recent_years,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPUE_CV,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch_CV,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effort_CV,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rel_Sample_Month,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,,,,,,,,,,,,,,,,,,
Weight_Bin_Max,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight_Bin_Width,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAW_Annual_Sample_Size,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAW_Annual_ESS,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
